city,neighbourhood_cleansed,total_listings,avg_occupancy,median_price,commercial_pct,licensed_pct,avg_availability,avg_reviews,occupancy_rate,total_listings_norm,avg_occupancy_norm,commercial_pct_norm,activity_score
chicago,Irving Park,184,112.17,129.0,0.53,0.72,193.29,4.85,0.307,0.16845180136319376,0.899810398163856,0.46052631578947373,0.519
chicago,Jefferson Park,52,115.6,103.0,0.54,0.85,205.42,4.81,0.317,0.03992210321324245,0.9340385191098692,0.4736842105263158,0.484
chicago,Kenwood,77,66.99,72.5,0.79,0.71,270.78,4.71,0.184,0.06426484907497566,0.4489571899012074,0.8026315789473686,0.366
chicago,Lake View,550,116.17,201.0,0.7,0.84,189.17,4.82,0.318,0.5248296007789679,0.9397265741941923,0.6842105263157895,0.723
chicago,Lincoln Park,297,115.19,236.5,0.58,0.76,199.89,4.81,0.316,0.27848101265822783,0.9299471110667599,0.5263157894736842,0.589
chicago,Lincoln Square,114,122.21,127.0,0.41,0.87,192.61,4.86,0.335,0.1002921129503408,1.0,0.3026315789473684,0.501
chicago,Logan Square,454,115.22,143.0,0.52,0.72,195.58,4.85,0.316,0.43135345666991237,0.9302464823869874,0.4473684210526316,0.634
chicago,Loop,547,58.98,286.0,0.94,0.41,222.03,4.73,0.162,0.5219084712755598,0.36902504740045905,1.0,0.556
chicago,Lower West Side,232,118.04,123.0,0.67,0.73,202.29,4.81,0.323,0.21518987341772153,0.9583873864883745,0.6447368421052632,0.598
chicago,Mckinley Park,59,88.8,44.5,0.76,0.73,227.88,4.59,0.243,0.04673807205452775,0.6666001397066161,0.7631578947368421,0.438
chicago,Montclare,12,53.5,86.5,0.67,0.83,226.17,4.81,0.147,0.0009737098344693282,0.31433988623889836,0.6447368421052632,0.255
chicago,Morgan Park,13,74.31,104.0,0.38,0.69,243.46,4.8,0.204,0.0019474196689386564,0.522003792036723,0.2631578947368421,0.262
chicago,Near North Side,1038,64.05,305.0,0.91,0.49,235.1,4.66,0.175,1.0,0.41961880051891026,0.9605263157894737,0.76
chicago,Near South Side,256,82.7,265.0,0.9,0.7,290.61,4.75,0.227,0.2385589094449854,0.6057279712603533,0.9473684210526315,0.527
chicago,Near West Side,628,67.96,250.0,0.81,0.51,232.25,4.7,0.186,0.6007789678675755,0.458636862588564,0.8289473684210528,0.59
chicago,New City,44,69.89,36.0,0.77,0.64,223.98,4.55,0.191,0.03213242453748783,0.47789641752320133,0.7763157894736843,0.359
chicago,North Center,138,104.04,180.0,0.53,0.64,215.82,4.84,0.285,0.12366114897760468,0.8186807703821976,0.46052631578947373,0.469
chicago,North Lawndale,62,67.87,95.5,0.77,0.73,202.53,4.76,0.186,0.04965920155793573,0.4577387486278815,0.7763157894736843,0.358
chicago,North Park,21,99.86,92.0,0.38,1.0,260.81,4.86,0.274,0.009737098344693282,0.776968366430496,0.2631578947368421,0.367
chicago,Norwood Park,54,88.33,93.5,0.65,0.7,209.65,4.83,0.242,0.04186952288218111,0.6619099890230516,0.618421052631579,0.405
chicago,Oakland,18,51.67,127.0,0.44,0.78,225.5,4.85,0.142,0.006815968841285297,0.2960782357050195,0.34210526315789475,0.19
chicago,Ohare,11,46.73,179.0,0.45,0.82,298.0,4.84,0.128,0.0,0.2467817583075541,0.35526315789473684,0.17
chicago,Portage Park,116,75.91,102.0,0.57,0.74,203.12,4.79,0.208,0.10223953261927946,0.5379702624488574,0.513157894736842,0.359
chicago,Pullman,15,98.93,102.0,0.53,0.47,225.8,4.9,0.271,0.0038948393378773127,0.7676878555034429,0.46052631578947373,0.401
chicago,Rogers Park,158,101.56,110.0,0.65,0.85,204.01,4.77,0.278,0.14313534566699124,0.793932741243389,0.618421052631579,0.499
chicago,Roseland,19,91.74,184.0,0.37,0.89,248.63,4.57,0.251,0.007789678675754625,0.6959385290889133,0.25,0.331
chicago,South Chicago,29,45.93,55.0,0.66,0.48,164.83,4.58,0.126,0.017526777020447908,0.2387985231014869,0.6315789473684211,0.229
