RegionID,RegionName,StateName,State,Metro,date,rent,city
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2017-02-28,1232.0733824072536,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2017-02-28,1740.2571932706394,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2017-03-31,2706.1689594613595,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2017-03-31,2044.56845974054,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2017-03-31,1629.456071290578,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2017-03-31,1245.4176871566683,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2017-03-31,1763.0024825523533,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2017-04-30,2723.2750767994644,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2017-04-30,2054.261126608244,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2017-04-30,1644.398987717447,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2017-04-30,1256.0413902455984,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2017-04-30,1782.5734685637394,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2017-05-31,2744.863272532248,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2017-05-31,2070.5222556144963,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2017-05-31,1656.7335394283607,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2017-05-31,1260.851428915112,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2017-05-31,1799.1771111440178,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2017-06-30,2763.714607132744,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2017-06-30,2077.4557289614936,los-angeles
